scenario,cache_state,sql_limit,archetype,score
monetary,warm,30000,dataThroughTtp-compressed,0.358752
monetary,warm,30000,dataThroughTtp,0.357115
monetary,warm,30000,computeToData-compressed,0.233094
monetary,warm,30000,computeToData,0.214384
monetary,cold,30000,dataThroughTtp-compressed,0.673553
monetary,cold,30000,dataThroughTtp,0.666663
monetary,cold,30000,dataThroughTtp-cached,0.666663
monetary,cold,30000,computeToData-compressed,0.334569
monetary,cold,30000,computeToData,0.315602
monetary,cold,30000,computeToData-cached,0.315602
privacy,warm,3000,computeToData-cached,0.857894
privacy,warm,3000,computeToData,0.548947
privacy,warm,3000,computeToData-compressed,0.547109
privacy,warm,3000,dataThroughTtp-cached,0.457579
privacy,warm,3000,dataThroughTtp,0.146712
privacy,warm,3000,dataThroughTtp-compressed,0.145973
privacy,cold,3000,computeToData,0.821436
privacy,cold,3000,computeToData-cached,0.821436
privacy,cold,3000,computeToData-compressed,0.819967
privacy,cold,3000,dataThroughTtp,0.180033
privacy,cold,3000,dataThroughTtp-cached,0.180033
privacy,cold,3000,dataThroughTtp-compressed,0.179266
privacy,warm,6000,computeToData-cached,0.868509
privacy,warm,6000,computeToData-compressed,0.515493
privacy,warm,6000,computeToData,0.515062
privacy,warm,6000,dataThroughTtp-cached,0.503955
privacy,warm,6000,dataThroughTtp-compressed,0.131777
privacy,warm,6000,dataThroughTtp,0.131723
privacy,cold,6000,computeToData-compressed,0.824117
privacy,cold,6000,computeToData,0.824069
privacy,cold,6000,computeToData-cached,0.824069
privacy,cold,6000,dataThroughTtp-compressed,0.175983
privacy,cold,6000,dataThroughTtp,0.175938
privacy,cold,6000,dataThroughTtp-cached,0.175938
privacy,warm,9000,computeToData-cached,0.879872
privacy,warm,9000,dataThroughTtp-cached,0.548793
privacy,warm,9000,computeToData-compressed,0.488171
privacy,warm,9000,computeToData,0.485586
privacy,warm,9000,dataThroughTtp-compressed,0.120589
privacy,warm,9000,dataThroughTtp,0.120360
privacy,cold,9000,computeToData-compressed,0.825625
privacy,cold,9000,computeToData,0.825263
privacy,cold,9000,computeToData-cached,0.825263
privacy,cold,9000,dataThroughTtp-compressed,0.174690
privacy,cold,9000,dataThroughTtp,0.174493
privacy,cold,9000,dataThroughTtp-cached,0.174493
privacy,warm,12000,computeToData-cached,0.890175
privacy,warm,12000,dataThroughTtp-cached,0.586771
privacy,warm,12000,computeToData-compressed,0.465009
privacy,warm,12000,computeToData,0.460316
privacy,warm,12000,dataThroughTtp-compressed,0.110439
privacy,warm,12000,dataThroughTtp,0.110047
privacy,cold,12000,computeToData-compressed,0.828075
privacy,cold,12000,computeToData,0.826967
privacy,cold,12000,computeToData-cached,0.826967
privacy,cold,12000,dataThroughTtp-compressed,0.172532
privacy,cold,12000,dataThroughTtp,0.172092
privacy,cold,12000,dataThroughTtp-cached,0.172092
privacy,warm,15000,computeToData-cached,0.899315
privacy,warm,15000,dataThroughTtp-cached,0.619156
privacy,warm,15000,computeToData-compressed,0.445500
privacy,warm,15000,computeToData,0.438773
privacy,warm,15000,dataThroughTtp-compressed,0.101437
privacy,warm,15000,dataThroughTtp,0.100893
privacy,cold,15000,computeToData-compressed,0.831299
privacy,cold,15000,computeToData,0.829073
privacy,cold,15000,computeToData-cached,0.829073
privacy,cold,15000,dataThroughTtp-compressed,0.169669
privacy,cold,15000,dataThroughTtp,0.168911
privacy,cold,15000,dataThroughTtp-cached,0.168911
privacy,warm,18000,computeToData-cached,0.907345
privacy,warm,18000,dataThroughTtp-cached,0.647007
privacy,warm,18000,computeToData-compressed,0.429096
privacy,warm,18000,computeToData,0.420432
privacy,warm,18000,dataThroughTtp-compressed,0.093533
privacy,warm,18000,dataThroughTtp,0.092849
privacy,cold,18000,computeToData-compressed,0.835115
privacy,cold,18000,computeToData,0.831474
privacy,cold,18000,computeToData-cached,0.831474
privacy,cold,18000,dataThroughTtp-compressed,0.166268
privacy,cold,18000,dataThroughTtp,0.165131
privacy,cold,18000,dataThroughTtp-cached,0.165131
privacy,warm,21000,computeToData-cached,0.914379
privacy,warm,21000,dataThroughTtp-cached,0.671166
privacy,warm,21000,computeToData-compressed,0.415271
privacy,warm,21000,computeToData,0.404790
privacy,warm,21000,dataThroughTtp-compressed,0.086618
privacy,warm,21000,dataThroughTtp,0.085801
privacy,cold,21000,computeToData-compressed,0.839345
privacy,cold,21000,computeToData,0.834069
privacy,cold,21000,computeToData-cached,0.834069
privacy,cold,21000,dataThroughTtp-compressed,0.162489
privacy,cold,21000,dataThroughTtp,0.160929
privacy,cold,21000,dataThroughTtp-cached,0.160929
privacy,warm,24000,computeToData-cached,0.920548
privacy,warm,24000,dataThroughTtp-cached,0.692295
privacy,warm,24000,computeToData-compressed,0.403560
privacy,warm,24000,computeToData,0.391395
privacy,warm,24000,dataThroughTtp-compressed,0.080565
privacy,warm,24000,dataThroughTtp,0.079619
privacy,cold,24000,computeToData-compressed,0.843834
privacy,cold,24000,computeToData,0.836768
privacy,cold,24000,computeToData-cached,0.836768
privacy,cold,24000,dataThroughTtp-compressed,0.158474
privacy,cold,24000,dataThroughTtp,0.156463
privacy,cold,24000,dataThroughTtp-cached,0.156463
privacy,warm,27000,computeToData-cached,0.925974
privacy,warm,27000,dataThroughTtp-cached,0.710914
privacy,warm,27000,computeToData-compressed,0.393561
privacy,warm,27000,computeToData,0.379855
