sql_limit,varied,weight,archetype,score
10000,privacy,0.800000,computeToData-cached,0.908950
10000,privacy,0.800000,computeToData-compressed,0.609741
10000,privacy,0.800000,computeToData,0.606935
10000,privacy,0.800000,dataThroughTtp-cached,0.428237
10000,privacy,0.800000,dataThroughTtp-compressed,0.091328
10000,privacy,0.800000,dataThroughTtp,0.091169
10000,privacy,0.850000,computeToData-cached,0.927591
10000,privacy,0.850000,computeToData-compressed,0.688083
10000,privacy,0.850000,computeToData,0.685631
10000,privacy,0.850000,dataThroughTtp-cached,0.345848
10000,privacy,0.850000,dataThroughTtp-compressed,0.072577
10000,privacy,0.850000,dataThroughTtp,0.072479
10000,privacy,0.900000,computeToData-cached,0.949912
10000,privacy,0.900000,computeToData-compressed,0.777606
10000,privacy,0.900000,computeToData,0.775669
10000,privacy,0.900000,dataThroughTtp-cached,0.249749
10000,privacy,0.900000,dataThroughTtp-compressed,0.050172
10000,privacy,0.900000,dataThroughTtp,0.050121
10000,privacy,0.950000,computeToData-cached,0.974662
10000,privacy,0.950000,computeToData-compressed,0.880582
10000,privacy,0.950000,computeToData,0.879415
10000,privacy,0.950000,dataThroughTtp-cached,0.136206
10000,privacy,0.950000,dataThroughTtp-compressed,0.025370
10000,privacy,0.950000,dataThroughTtp,0.025349
10000,privacy,1.000000,computeToData,1.000000
10000,privacy,1.000000,computeToData-cached,1.000000
10000,privacy,1.000000,computeToData-compressed,1.000000
10000,privacy,1.000000,dataThroughTtp,0.000000
10000,privacy,1.000000,dataThroughTtp-cached,0.000000
10000,privacy,1.000000,dataThroughTtp-compressed,0.000000
20000,energy,0.000000,dataThroughTtp-cached,0.907901
20000,energy,0.000000,computeToData-cached,0.869590
20000,energy,0.000000,computeToData-compressed,0.278672
20000,energy,0.000000,computeToData,0.266387
20000,energy,0.000000,dataThroughTtp-compressed,0.132835
20000,energy,0.000000,dataThroughTtp,0.130410
20000,energy,0.050000,dataThroughTtp-cached,0.908836
20000,energy,0.050000,computeToData-cached,0.870903
20000,energy,0.050000,computeToData-compressed,0.277164
20000,energy,0.050000,computeToData,0.264619
20000,energy,0.050000,dataThroughTtp-compressed,0.131459
20000,energy,0.050000,dataThroughTtp,0.129110
20000,energy,0.100000,dataThroughTtp-cached,0.911850
20000,energy,0.100000,computeToData-cached,0.875142
20000,energy,0.100000,computeToData-compressed,0.272401
20000,energy,0.100000,computeToData,0.259030
20000,energy,0.100000,dataThroughTtp-compressed,0.127026
20000,energy,0.100000,dataThroughTtp,0.124912
20000,energy,0.150000,dataThroughTtp-cached,0.916946
20000,energy,0.150000,computeToData-cached,0.882333
20000,energy,0.150000,computeToData-compressed,0.264677
20000,energy,0.150000,computeToData,0.249946
20000,energy,0.150000,dataThroughTtp-compressed,0.119536
20000,energy,0.150000,dataThroughTtp,0.117783
